AppName,WarnName,TimeSpent,pfrSO,pfrDIS,pfrLENG,pfrHENG,Highest CogState
Game2,White-Warning,0:00:02:02,0,0,0.666666667,0.333333333,pfrLENG
Game3,White-Warning,0:00:02:02,0,0,1,0,pfrLENG
Game4,Maroon-Warning,0:00:03:03,0,0.333333333,0,0.666666667,pfrHENG
Sport1,Maroon-Text-Warning,0:00:02:02,0,0.5,0,0.5,pfrDIS
Sport2,Maroon-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport3,Maroon-Icon-Warning,0:00:05:05,0,0.4,0.4,0.2,pfrDIS
Sport4,Red-Warning,0:00:04:04,0.25,0.25,0.5,0,pfrLENG
News1,Maroon-Icon-Warning,0:00:02:02,0.5,0,0,0.5,pfrSO
News2,Maroon-Icon-Warning,0:00:02:02,0,0,0,1,pfrHENG
News3,Maroon-Message-Warning,0:00:03:03,0,0,0,1,pfrHENG
News4,Maroon-Text-Warning,0:00:03:03,0,0.333333333,0.666666667,0,pfrLENG
Game1,White-Warning,0:00:02:02,0,0,1,0,pfrLENG
Game2,Maroon-Warning,0:00:03:03,0,0,0.333333333,0.666666667,pfrHENG
Game3,Maroon-Icon-Warning,0:00:04:04,0,0,0.5,0.5,pfrLENG
Game4,White-Warning,0:00:03:03,0,0,0,1,pfrHENG
News1,Red-Icon-Warning,0:00:02:02,0.333333333,0,0.333333333,0.333333333,pfrSO
News2,Maroon-Message-Warning,0:00:02:02,1,0,0,0,pfrSO
News3,Maroon-Warning,0:00:02:02,0.5,0,0,0.5,pfrSO
News4,White-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
Sport1,Maroon-Message-Warning,0:00:02:02,0,0,0.333333333,0.666666667,pfrHENG
Sport2,Maroon-Icon-Warning,0:00:01:01,0,1,0,0,pfrDIS
Sport3,Maroon-Warning,0:00:02:02,0,0,0,1,pfrHENG
Sport4,Maroon-Text-Warning,0:00:03:03,0.333333333,0,0.666666667,0,pfrLENG
Music1,Maroon-Icon-Warning,0:00:02:02,0,0,0,1,pfrHENG
Music2,Windows-Alert,0:00:04:04,0,0,0,1,pfrHENG
Music3,Maroon-Text-Warning,0:00:02:02,0,0,1,0,pfrLENG
Music4,Maroon-Icon-Warning,0:00:02:02,0,0,0.5,0.5,pfrLENG
